origin,destination,bike_rf1_duration,bike_rf2_duration,bike_rf3_duration,bike_rf4_duration,bike_rf5_duration,bike_rf6_duration,bike_rf7_duration,bike_rf8_duration,bike_rf9_duration,bike_rf10_origin,bike_rf10_destination,bike_rf10_duration,bike_rf11_origin,bike_rf11_destination,bike_rf11_duration,ebike_th1_duration,bike_vf1_duration
HB Zürich,Limmatplatz,254,267,259,249,,,,,,2020-10-04T13:54:50+02:00,2020-10-04T13:59:25+02:00,275,,,,,
HB Zürich,Bellevue,299,374,,,,,,,,,,,,,,,
HB Zürich,Helvetiaplatz,239,,,,,,,,,,,,,,,,
HB Zürich,Paradeplatz,,,,,,,,,,,,,,,,,
HB Zürich,ETH Hauptgebäude,,,,,,,,,,,,,,,,,
KÜSNACHT,Bahnhof Tiefenbrunnen,,,,,,,,,,2020-10-04T13:30:33+02:00,2020-10-04T13:40:54+02:00,621,,,,,
Letzigrund (Tram),Freilager,240,,,,,,,,,,,,,,,,
Letzigrund (Tram),Goldbrunnenplatz,414,,,,,,,,,,,,,,,,
Letzigrund (Tram),Hardturm,455,,,,,,,,,,,,,,,,
Letzigrund (Tram),Triemli,564,,,,,,,,,,,,,,,,
Limmatplatz,Escher-Wyss-Platz,202,222,187,197,212,,,,,2020-10-04T13:59:34+02:00,2020-10-04T14:02:28+02:00,174,,,,,
Limmatplatz,Bahnof Hardbrücke,375,,,,,,,,,,,,,,,,
Limmatplatz,HB Zürich ,266,242,152,,,,,,,,,,,,,,
Limmatplatz,Schaffhauserplatz,413,409,,,,,,,,,,,,,,,
Lochergut,Bahnhof Hardbrücke,248,227,265,,,,,,,,,,,,,,
Lochergut,Goldbrunnenplatz,195,,,,,,,,,,,,,,,,
Lochergut,Helvetiaplatz,216,,,,,,,,,,,,,,,,
Lochergut,Bahnhof Wiedikon,198,,,,,,,,,,,,,,,,
Manesseplatz,Bahnhof Wiedikon,,,,,,,,,,,,,,,,,
Manesseplatz,Bahnhof Enge,310,,,,,,,,,,,,,,,,
Meierhofplatz,Escher-Wyss-Platz,396,,,,,,,,,,,,,,,,
Meierhofplatz,ETH Hönggerberg,476,,,,,,,,,,,,,,,,
Meierhofplatz,Hardturm,283,,,,,,,,,,,,,,,,
Meierhofplatz,Werdinsel,416,,,,,,,,,,,,,,,,
Milchbuck,Schaffhauserplatz,136,127,,,,,,,,,,,,,,,
Milchbuck,Bucheggplatz,,,,,,,,,,,,,,,,,
Milchbuck,Schwamendingerplatz,548,554,,,,,,,,,,,,,,,
Paradeplatz,Bellevue,137,,,,,,,,,,,,,,,,
OPFIKON,Bahnhof Oerlikon,,,,,,,,,,2020-10-18T17:11:58+02:00,2020-10-18T17:20:48+02:00,530,,,,,
Paradeplatz,Bahnhof Wiedikon,,,,,,,,,,,,,,,,,
Paradeplatz,HB Zürich,,,,,,,,,,,,,,,,,
Paradeplatz,Helvetiaplatz,359,,,,,,,,,,,,,,,,
Römerhof,ETH Hauptgebäude,375,,,,,,,,,,,,,,,,
Römerhof,Zoo (Tram),,,,,,,,,,,,,,,,,
Rote Fabrik,Badi Mythenquai,268,,,,,,,,,,,,,,,,
Schaffhauserplatz,Bucheggplatz,226,,,,,,,,,,,,,,,,
Schaffhauserplatz,Escher-Wyss-Platz,299,259,277,,,,,,,,,,,,,,
Schaffhauserplatz,Milchbuck,218,,,,,,,,,,,,,,,,
Schaffhauserplatz,Seilbahn Rigiblick,285,,,,,,,,,,,,,,,,
Schlieren Bahnhof,Bahnhof Altstetten,545,,,,,,,,,,,,,,,,
