2050517,,85263,4.34
1949471,,-30528,-1.54
1951979,,-11412,-0.58
1666351,,-741,-0.04
1441766,,32414,2.3
1464025,,36880,2.58
1609275,,84996,5.58
1544087,,87618,6.02
2150161,,97233,4.74
2064592,,76827,3.86
2171082,,102221,4.94
2256706,,75335,3.45
1965254,,69010,3.64
1979999,,179048,9.94
1963391,,112296,6.07
1667092,,146492,9.63
1409352,,80972,6.1
1427145,,71171,5.25
1524279,,58374,3.98
1456469,,72438,5.23
2052928,,54578,2.73
1987765,,152515,8.31
2068861,,101133,5.14
2181371,,85378,4.07
1896244,,165080,9.54
1800951,,-21794,-1.2
1851095,,217463,13.31
1520600,,63563,4.36
1328380,,,
1355974,,,
1465905,,,
1384031,,,
1998350,,,
1835250,,,
1967728,,,
2095993,,,
1731164,,,
1822745,,,
1633632,,,
1457037,,,
1283585,,,
1264655,,,
